更新时间,#genre#
2026-01-31 00:58:15,#genre#

央视频道,#genre#
海南卫视,http://223.93.142.35:4022/rtp/233.50.200.165:5140
海南卫视,http://171.122.196.44:8085/rtp/226.0.2.212:9608
海南卫视,http://183.220.107.138:4022/rtp/239.10.0.119:5140
海南卫视,http://183.220.107.138:4022/rtp/239.11.0.193:5140
河北卫视,http://223.93.142.35:4022/rtp/233.50.200.105:5140
河北卫视,http://223.93.142.35:4022/rtp/233.50.201.140:5140
河北卫视,http://171.122.196.44:8085/rtp/226.0.2.178:9336
河北卫视,http://115.171.216.84:4000/rtp/225.1.8.76:8002
河北卫视,http://183.220.107.138:4022/rtp/239.11.0.31:5140
河南卫视,http://223.93.142.35:4022/rtp/233.50.201.144:5140
河南卫视,http://223.93.142.35:4022/rtp/233.50.200.142:5140
河南卫视,http://171.122.196.44:8085/rtp/226.0.2.195:9472
河南卫视,http://183.220.107.138:4022/rtp/239.11.0.44:5140
湖北卫视,http://223.93.142.35:4022/rtp/233.50.200.147:5140
湖北卫视,http://223.93.142.35:4022/rtp/233.50.201.114:5140
湖北卫视,http://171.122.196.44:8085/rtp/226.0.2.150:9112
湖北卫视,http://115.171.216.84:4000/rtp/225.1.8.47:8044
湖北卫视,http://183.220.107.138:4022/rtp/239.11.0.74:5140
江西卫视,http://223.93.142.35:4022/rtp/233.50.200.119:5140
江西卫视,http://223.93.142.35:4022/rtp/233.50.201.145:5140
江西卫视,http://171.122.196.44:8085/rtp/226.0.2.198:9496
江西卫视,http://115.171.216.84:4000/rtp/225.1.8.171:8166
江西卫视,http://183.220.107.138:4022/rtp/239.11.0.42:5140
四川卫视,http://223.93.142.35:4022/rtp/233.50.200.118:5140
四川卫视,http://223.93.142.35:4022/rtp/233.50.201.139:5140
四川卫视,http://171.122.196.44:8085/rtp/226.0.2.179:9344
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.78:5140
重庆卫视,http://223.93.142.35:4022/rtp/233.50.200.114:5140
重庆卫视,http://223.93.142.35:4022/rtp/233.50.201.143:5140
重庆卫视,http://171.122.196.44:8085/rtp/226.0.2.174:9304
重庆卫视,http://115.171.216.84:4000/rtp/225.1.8.172:8162
重庆卫视,http://183.220.107.138:4022/rtp/239.11.0.116:5140
贵州卫视,http://223.93.142.35:4022/rtp/233.50.200.139:5140
贵州卫视,http://223.93.142.35:4022/rtp/233.50.201.142:5140
贵州卫视,http://171.122.196.44:8085/rtp/226.0.2.180:9352
贵州卫视,http://115.171.216.84:4000/rtp/225.1.8.77:8076
贵州卫视,http://183.220.107.138:4022/rtp/239.11.0.51:5140
云南卫视,http://223.93.142.35:4022/rtp/233.50.200.115:5140
云南卫视,http://183.220.107.138:4022/rtp/239.11.0.52:5140
天津卫视,http://223.93.142.35:4022/rtp/233.50.201.104:5140
天津卫视,http://223.93.142.35:4022/rtp/233.50.200.104:5140
天津卫视,http://171.122.196.44:8085/rtp/226.0.2.148:9096
